商家名称,商家地址,纬度,经度,营业时间,评价,评价数
（津味）张记包子铺,天津市津南区经济开发区（西区）微山南路富士特菜市场门脸微5号,39.032284,117.276352,['06:15/20:55'],4.7,319
+1麻辣烫,天津市红桥区丁字沽风采里43-54门底商-122,39.176301,117.166713,['10:00/21:00'],4.9,82
0.8水果,天津市南开区南开大学励志路第十宿舍119号,39.104302,117.169925,['08:00/20:00'],4.9,3
0317火锅鸡,天津市武清区东蒲洼街雍阳西道532号枫丹天城底商,39.387145,117.021631,['10:00/22:00'],0,0
0317火锅鸡(中北镇店),天津市西青区中北镇津杨公路与万卉路交口西南侧天阔园公建二13号,39.130252,117.089809,['10:30/22:00'],4.8,12
10元快餐店,天津市西青区精武镇付村路星期八小镇商业街2-1-AB13号,39.048506,117.124519,['08:30/22:00'],4,1
1314一杯会说话的茶,天津市河北区王串场街容彩里4号楼4-2底商,39.15873,117.228124,['09:30/21:00'],4.9,32
1895Corner-Bar(留园店),天津市海河教育园天津大学北洋园校园留园,38.9958760064849,117.315522421674,"['10:30/14:00', '16:10/20:00']",4.4,22
1895秘制猪蹄简餐,天津市南开区万兴街长江里17号,39.128127,117.156274,['09:00/21:00'],4.6,25
1号金牌卤肉饭(东兴里店),天津市西青区中北镇汪庄村东兴里菜市场2厅前街3号东,39.127554,117.088622,['10:00/20:30'],4.8,261
1号金牌卤肉饭(张家窝店),天津市西青区张家窝镇玉台路45号,39.068032,117.036536,['10:00/21:30'],4.7,80
1号金牌卤肉饭(王顶堤店),天津市南开区堤南道迎水东里3号楼底商4号,39.094002,117.149089,['09:50/24:00'],4.7,199
25小时鲜花（双口镇店）,天津市北辰区双口镇双口二村红光路42号,39.2335028736746,117.04308575399,['00:00/23:55'],5,1
3+1便利（万隆1店）,天津市东丽区天山南里万隆花园小区43号底商,39.1232501308439,117.283118819202,['09:00/21:00'],4.8,46
35秒烤肉拌饭(和平店),天津市和平区劝业场街哈尔滨道141号106,39.124341,117.20106,['09:30/21:00'],4.6,54
36度邂逅,天津市和平区劝业场街长春道好乐里1号101,39.120423,117.194172,['10:00/21:00'],5,0
3D龙鱼面,天津市西青区精武镇付村路星期八小镇商业街中-2-2,39.05361,117.121558,"['11:00/14:00', '16:00/20:30']",4.7,13
3路海鲜烧烤涮,天津市南开区向阳路街西青道303号,39.152784,117.11727,['17:00/24:00'],4.7,457
58优品（怡闲便利店）,天津市红桥区怡闲道13号,39.143148173397,117.161857732489,['08:30/23:55'],4.9,66
58优品佳和超市,天津市河北区革新道500号,39.1613663571406,117.22897982378,['06:35/01:50'],4.9,483
5G快送餐厅,天津市津南区辛庄镇白塘口村南（众建混凝土公司对面）,38.994686,117.328939,['09:50/21:00'],4.4,30
62号的故事韩式&日式厨房,天津市和平区卫津路15号博联大厦底商102-B568,39.106201,117.179946,['11:00/20:50'],5,12
6号食堂(金奥店),天津市西青区李七庄街卫津南路与丽江道交口东北侧金奥广场7-115,39.065543,117.192359,['10:15/20:30'],4.7,1657
71cake网红盒子蛋糕(河东店),天津市河东区程林里59-10-9,39.124878,117.261821,['09:00/19:00'],4.8,61
7里香手工水饺蒸饺冷面,天津市津南经济开发区（西区）上海街52号富士特市场门脸前4号,39.033293,117.277033,['08:00/21:00'],4.6,84
808味日料店,天津市西青区精武镇姚村文博园7号楼104号,39.058793,117.115902,['09:30/21:30'],4.5,249
8090奶茶,天津市河西区环湖中道10号增101-102,39.084181,117.181633,['13:25/20:00'],5,7
81號中式快餐(平山道店),天津市河西区吴家窑大街与卫津路交口君禧华庭配建1-君禧华庭81号底商,39.097828,117.183204,['11:00/21:00'],0,0
85度C（天津天山路店）,天津市河东区天山路崂山道交口天山路市场内首层（门03）,39.13746,117.27741,['08:00/21:00'],4.9,535
85度C（天津新世界店）,天津市南开区东马路138号新安购物广场一层-02至09内04区0104号商铺,39.14107,117.18908,['08:00/21:30'],5,242
85度C（天津鞍山西道店）,天津市南开区鞍山西道259号（时代大厦）101D03商铺,39.113801,117.164036,['08:00/21:30'],4.8,492
8元雷饱15元吃好,天津市西青区大寺镇倪黄庄环宇路22号门脸房,39.029238,117.225534,['10:20/23:30'],5,17
90后麻辣香锅(音乐学院店),天津市河东区大王庄街道八纬路109号家家福市场办公-11,39.119288,117.231954,['09:30/24:00'],4.5,765
9292火辣肥肠,天津市津南区双港镇梨双公路西北侧普泰花园10号楼底商4,39.0200883253979,117.274440230253,"['10:00/14:00', '17:00/22:00']",0,0
957炸鸡汉堡,天津市西青区中北镇景园里8号底商,39.126126,117.112898,['10:30/20:30'],4.8,290
97香港餐厅,天津市和平区河北路庆捷里4号,39.127074,117.198272,"['10:20/14:30', '16:15/22:00']",4.3,4
99炸鸡,南开区凌奥美食休闲街东侧自建房屋,39.1186,117.178234,['11:00/22:30'],4.8,676
99炸鸡（佳园里店）,天津市北辰区青光镇龙武道17号,39.191989,117.113326,['11:00/22:30'],4.7,161
99炸鸡(天津店),**,39.1249163271104,117.215813843736,['11:00/22:30'],4.8,103
99炸鸡（小海地店）,天津市河西区大沽南路1118号天津泉汇购物广场步行街底商3号,39.067582,117.280505,['11:00/22:30'],4.7,177
99炸鸡(张家窝店),天津市西青区张家窝镇杰盛里58号楼6号底商,39.066808,117.031885,['10:30/22:25'],4.6,71
99炸鸡（梅江店）,天津市河西区解放南路珠江道大任庄路3号（东升信达菜市场）外商户S9号,39.058425,117.226343,['11:00/22:30'],4.7,283
99炸鸡（河北店）,天津市河北区三马路129号（千禧消费品市场A区44、45）,39.157513,117.195322,['11:00/22:30'],4.7,245
99炸鸡(燕宇店),天津市西青区中北镇兴宁路景园里底商5号,39.127423,117.111922,['10:30/21:30'],4.8,57
A.Cake爱蛋糕,天津市西青区中北镇假日盈润园底商（卉安道13号）,39.12096,117.07872,['08:00/20:00'],5,1
Aaron家的美味,天津市南开区天津大学四季村13-1-101,39.109725,117.165051,['11:00/19:30'],0,0
AIMI蛋糕私人订制,天津市河东区卓越大厦2-1714,39.089057,117.338527,['09:00/19:00'],5,3
BelongBakery手工定制烘焙,天津市北辰区青光镇韩家墅农产品批发市场商业街50号,39.202229,117.100723,['08:00/19:00'],5,1
bigbang韩国炸鸡(南开店),天津市南开区红旗南路与陈塘庄铁路支线交口东南侧阳光壹佰东园1-商9,39.072341,117.152456,['10:00/01:30'],4.8,520
bigbang韩国炸鸡(天津店),天津市和平区劝业场街陕西路72-74号平17,39.124081,117.189668,['10:00/24:00'],4.8,898
bigbang韩国炸鸡（武清店）,天津市武清区杨村街北郑招商场A厅132号,39.388713,117.065338,['10:00/01:00'],4.8,236
bigbang韩国炸鸡(河北店),天津市河北区鸿顺里街日纬路75号,39.161328,117.197075,['10:00/00:30'],4.8,390
bigbang韩国炸鸡(河西店),天津市河西区小海地竹林路4号1门,39.060315,117.266436,['10:00/01:30'],4.8,526
bigbang韩国炸鸡(红桥店),天津市红桥区咸阳北路街本溪路青年副食青联百货1门,39.182402,117.140597,['10:00/02:00'],4.8,461
bigbang韩国炸鸡（西青店）,天津市西青区中北镇汪庄村东兴里菜市场二厅前街北6号,39.12754,117.08819,['10:00/01:30'],4.8,265
BiuBiuBiu(河北店),天津市河北区望海楼街昆纬路116号1001室,39.152205,117.208276,['10:00/22:00'],4.5,590
BROTHER美式热狗(凌奥店),南开区鑫奥老年公寓5-3-102,39.064828,117.179121,['00:00/24:00'],4.7,386
BROTHER美式热狗(北宁湾店),天津市河北区任贤东里2号楼3门105室,39.179615,117.206718,['07:40/20:50'],4.8,639
BROTHER美式热狗（华苑店）,天津天地顺物业管理有限公司地华里市场外18号,39.084813,117.127142,['06:15/19:30'],4.7,170
BROTHER美式热狗(南开店),天津市南开区南丰路兴泰南里4号楼6门101,39.140585,117.154836,['07:30/21:00'],4.8,210
BROTHER美式热狗(和平店),天津市河西区东楼恩兴后街11号德勤菜市场4层,39.123025,117.185565,['06:30/21:50'],4.7,793
BROTHER美式热狗（大学城店）,天津市西青区精武镇学畔馨圆底商S1-113二楼,39.04943,117.120734,['14:30/22:00'],4.7,118
